findingId,auditEngagement,findingDate,title,description,severity,rootCauseCategory,processArea,controlOwner,managementResponse,remediationStatus,remediationDueDate,isRecurring,priorFindingRef
af001,2022 Financial Audit,2022-09-15,Manual journal entry without supporting documentation,"Journal entries posted by accounting staff lacked proper supporting documentation including invoices and approval forms",Medium,Process,Financial Close,Michael Bluth,"Will implement mandatory attachment requirement for all journal entries over $5000",Closed,2023-01-31,false,
af002,2022 Financial Audit,2022-09-20,IT admin account shared between operators,"Shared administrative credentials used by multiple IT staff to access production SAP environment",High,Technology,IT Operations,George Michael Bluth,"Will create individual named admin accounts and disable shared credentials",Closed,2023-03-31,false,
af003,2023 SOX Review,2023-06-10,Late bank reconciliation completion,"Monthly bank reconciliations consistently completed 15-20 days past the 10-business-day policy deadline",Low,Process,Treasury,Lucille Bluth,"Additional staff will be assigned to reconciliation process to meet deadlines",Closed,2023-09-30,false,
af004,2023 SOX Review,2023-06-15,Password policy non-compliance,"System password settings do not meet corporate policy requiring 12 characters minimum and 90-day rotation",Medium,Technology,IT Security,George Michael Bluth,"IT will update password policy configurations across all production systems",InProgress,2024-03-31,false,
af005,2023 IT Controls Audit,2023-10-05,Server patching backlog,"47 servers have critical patches outstanding for more than 60 days exceeding the 30-day patching SLA",Medium,Technology,IT Infrastructure,George Michael Bluth,"Emergency patching sprint approved and will be completed within 45 days",Closed,2024-01-15,false,
af006,2023 IT Controls Audit,2023-10-12,Vendor access not reviewed quarterly,"Third-party vendor remote access accounts were not reviewed in Q2 or Q3 as required by policy",Medium,Process,Vendor Management,Lindsay Bluth,"Will establish calendar reminders and assign vendor access review ownership to IT manager",InProgress,2024-06-30,false,
af007,2024 Vendor Review,2024-02-20,Missing W-9 for new vendor,"Three new vendors onboarded in Q4 2023 without collecting required W-9 tax documentation",Low,Process,Accounts Payable,Lucille Bluth,"AP team will perform retroactive W-9 collection and update onboarding checklist",Closed,2024-04-30,false,
af008,2024 Vendor Review,2024-02-25,Vendor payment terms changed without approval,"Payment terms for two vendors changed from Net-45 to Net-15 without documented approval from Finance Director",Medium,Process,Accounts Payable,Lucille Bluth,"Will require Finance Director sign-off on all payment term modifications going forward",Closed,2024-05-31,false,
af009,2024 Payroll Audit,2024-04-10,Overtime calculation error,"Payroll system calculated overtime at 1.25x instead of 1.5x for 3 pay periods due to configuration error",Low,Technology,Payroll,Tobias Funke,"System configuration corrected and affected employees will receive retroactive payment adjustment",Closed,2024-06-30,false,
af010,2024 Payroll Audit,2024-04-15,Late timesheet submissions,"22% of employees consistently submit timesheets after the Friday 5pm deadline causing payroll processing delays",Low,People,Payroll,Tobias Funke,"Department managers will enforce timesheet submission deadlines through performance reviews",InProgress,2024-09-30,false,
af011,2024 Construction Review,2024-05-20,Project scope change not documented,"Two construction project scope changes totaling $350K were implemented without formal change order documentation",Medium,Governance,Project Management,GOB Bluth,"Project management office will enforce mandatory change order process for all scope modifications",InProgress,2024-08-31,false,
af012,2024 Construction Review,2024-05-25,Change order approval delayed,"Change order for structural reinforcement was approved 30 days after work commenced creating retroactive approval risk",Low,Process,Project Management,GOB Bluth,"Will implement pre-approval workflow in project management system before work can begin",Closed,2024-07-31,false,
af013,2023 Expense Review,2023-11-15,Entertainment expenses exceed policy,"Multiple executives submitted entertainment expenses exceeding the $500 per event policy limit without pre-approval",Medium,People,Expense Management,Lucille Bluth,"Finance will implement hard stop in expense system for amounts exceeding policy limits",Closed,2024-02-28,false,
af014,2024 Treasury Review,2024-07-10,Wire transfer approval gap,"Wire transfers between $25K-$50K processed with single approval when dual approval is required per treasury policy",High,Process,Treasury,Michael Bluth,"System configuration will be updated to enforce dual approval for all wires over $25K",InProgress,2024-10-31,false,
af015,2024 Vendor Review,2024-03-01,"Related party transactions not disclosed by George Sr.","George Bluth Sr. failed to disclose related party transactions with Sitwell Enterprises and offshore entities for the third consecutive year despite prior audit findings and management commitments",Critical,Governance,Related Party Disclosure,George Bluth Sr.,,Overdue,2024-06-30,true,af001-2022
af016,2024 Payroll Audit,2024-04-20,"Ghost employee on payroll - Annyong Bluth","Individual named Annyong Bluth appears on active payroll with direct deposit to account matching another employees bank details. No valid employment records or tax forms on file.",Critical,People,Payroll,Tobias Funke,,Open,,false,
af017,2024 Construction Review,2024-05-30,"Iraq construction project - no regulatory approval for overseas work","Bluth Company is performing construction work in Iraq without required US government export licenses or foreign construction permits. Project value exceeds $2M with no regulatory compliance documentation.",Critical,Governance,Regulatory Compliance,GOB Bluth,,Overdue,2024-04-30,false,
af018,2024 Construction Review,2024-06-05,"GOB authorized $500K for magic show venue disguised as project expense","GOB Bluth authorized $500K payment to Alliance of Magicians Convention Center coded as construction subcontractor expense. No legitimate construction purpose identified.",Critical,IncentiveStructure,Project Cost Management,GOB Bluth,,Open,,false,
af019,2023 SOX Review,2023-06-20,"Same finding as prior year - bank recon delays","Bank reconciliation delays identified again in 2023 SOX review matching prior year finding af003. Management response from prior year was not effectively implemented.",Medium,Process,Treasury,Lucille Bluth,"Will hire additional temporary staff for reconciliation backlog",Overdue,2024-01-31,true,af003
af020,2024 Treasury Review,2024-07-15,"Cayman Islands account not disclosed to audit committee","Undisclosed bank account at Grand Cayman International Bank discovered during treasury review. Account not included in cash confirmation requests or audit committee reporting.",Critical,Governance,Treasury,George Bluth Sr.,,Open,,false,
