ID,customerNumber,name,category,taxId,address,city,country,phone,email,creditLimit,paymentTerms,isRelatedParty,isActive
cust001,C001,US Government - Homeland Security,Government,00-0000001,1600 Pennsylvania Ave,Washington DC,US,202-555-1001,contracts@dhs.gov,50000000.00,Net90,false,true
cust002,C002,Sitwell Enterprises,Real Estate,95-1234567,100 Sitwell Plaza,Orange County,US,949-555-1001,ar@sitwellenterprises.com,5000000.00,Net30,true,true
cust003,C003,Austero Company,Real Estate,95-8888888,200 Austero Tower,Orange County,US,949-555-1012,ar@austero.com,3000000.00,Net45,true,true
cust004,C004,Beach Tourists - Walk In,Retail,CASH,Balboa Beach,Newport Beach,US,,,0.00,COD,false,true
cust005,C005,Newport Beach Country Club,Private,95-5555555,1 Country Club Drive,Newport Beach,US,949-555-2001,billing@nbcc.com,100000.00,Net30,false,true
cust006,C006,Tantamount Studios,Entertainment,95-1111111,5555 Melrose Avenue,Los Angeles,US,323-555-1002,ar@tantamount.com,500000.00,Net45,false,true
cust007,C007,Magicians Anonymous,Nonprofit,95-MAGIC1,1234 Illusion Way,Los Angeles,US,323-555-1001,donations@magiciansanon.org,25000.00,Net30,false,true
cust008,C008,Saddam Holdings LLC,International,IQ-SUSPECT,PO Box Unknown,Baghdad,IQ,964-555-9999,payments@suspect.iq,10000000.00,Net180,false,true
cust009,C009,Wee Britain Municipality,Government,UK-5555555,45 Wee Britain Lane,Orange County,US,949-555-1011,ar@weebritain.org,500000.00,Net60,false,true
cust010,C010,Orange County Homebuyers,Real Estate,VARIOUS,Various,Orange County,US,,,2000000.00,Net30,false,true
cust011,C011,Girls with Low Self Esteem Productions,Entertainment,95-GWLSE1,Hollywood,Los Angeles,US,323-555-9999,ar@gwlse.com,50000.00,Net30,false,false
cust012,C012,Mexico Tourism Board,Government,MX-GOVT01,Mexico City,Mexico City,MX,52-555-1001,ar@mexicotourism.gov.mx,250000.00,Net60,false,true
