ID,validationId,role,systemName,riskLevel,description,incompatibleRoles
ev001,EV-001,SUPER_USER,SAP_ERP,High,Unrestricted access to all system functions including configuration,All roles - should not coexist with any other role
ev002,EV-002,ADMIN,SAP_ERP,High,System administration including user provisioning and config changes,FINANCE_DIRECTOR;FINANCE_MANAGER;GL_ACCOUNTANT
ev003,EV-003,GL_ACCOUNTANT,SAP_ERP,High,Can post journal entries and modify general ledger,FINANCE_DIRECTOR;ADMIN;PAYROLL_CLERK
ev004,EV-004,FINANCE_MANAGER,SAP_ERP,High,Full finance module access including approvals,GL_ACCOUNTANT;PAYROLL_CLERK
ev005,EV-005,FINANCE_DIRECTOR,SAP_ERP,High,Senior finance access with override capabilities,GL_ACCOUNTANT;ADMIN
ev006,EV-006,BANKING_ADMIN,Banking,High,Full banking system access including wire transfers,BANKING_APPROVER
ev007,EV-007,BANKING_APPROVER,Banking,High,Can approve payments and wire transfers,BANKING_ADMIN
ev008,EV-008,PAYROLL_CLERK,Payroll,High,Can process payroll and modify employee pay records,FINANCE_MANAGER;GL_ACCOUNTANT
ev009,EV-009,EXPENSE_ADMIN,ExpenseSystem,Medium,Can configure expense policies and approve any expense,EXPENSE_APPROVER
ev010,EV-010,BASIC_USER,SAP_ERP,Low,Read-only access to assigned modules,None
