ID,code,name,companyCode_ID,manager_ID,budget,isActive
cc-exec,CC-EXEC,Executive Office,cc01,emp001,2500000.00,true
cc-const,CC-CONST,Construction Division,cc01,emp003,15000000.00,true
cc-banana,CC-BANANA,Banana Stand Operations,cc01,emp004,500000.00,true
cc-legal,CC-LEGAL,Legal Department,cc01,emp012,1500000.00,true
cc-mktg,CC-MKTG,Marketing and Charitable Affairs,cc01,emp005,750000.00,true
cc-magic,CC-MAGIC,Entertainment and Magic,cc01,emp004,350000.00,true
cc-mexico,CC-MEX,Mexico Operations,cc02,emp001,800000.00,true
cc-iraq,CC-IRAQ,Iraq Operations,cc03,emp001,5000000.00,true
cc-tech,CC-TECH,Technology - Fakeblock,cc01,emp007,100000.00,true
cc-carto,CC-CARTO,Cartography and Maps,cc01,emp009,50000.00,true
