actionId,issuingAgency,enforcementTitle,caseId,rootCauseCategory,failureDetails,quantitativeFindings,fineAmount,actionDate,regulatoryFocus,industryBenchmark
rea001,SEC,"Gobias Industries - Undisclosed Related Party Transactions",SEC-2023-0142,Governance,"Failed to disclose material related party transactions in annual proxy filings","3 undisclosed transactions totaling $22M",15000000.00,2023-06-15,RelatedPartyDisclosure,"SEC average fine for disclosure failures: $12M (2022-2023)"
rea002,OCC,"First Nationwide Bank - Vendor Management Deficiencies",OCC-2023-0089,Process,"Inadequate due diligence on third-party service providers handling customer data","42 vendors without current risk assessments",8500000.00,2023-09-20,ThirdPartyRisk,"OCC consent orders for vendor management: avg $7.5M (2023)"
rea003,StateAG,"Newport Properties - Consumer Protection Violations",CAG-2024-0023,Governance,"Misleading advertising and failure to disclose material property defects to buyers","127 affected consumers over 18 months",2500000.00,2024-01-10,ConsumerProtection,"State AG real estate enforcement: avg $1.8M (2023-2024)"
rea004,FRB,"Wee Britain Financial - IT Change Management Failures",FRB-2024-MRA-017,Technology,"Insufficient change management controls for critical banking systems resulting in MRA","14 unauthorized changes to production systems in 6 months",0.00,2024-03-15,ITGovernance,"FRB MRAs for IT deficiencies: 23% of all MRAs issued (2024)"
rea005,SEC,"Austero Inc - Financial Statement Fraud",SEC-2022-0301,IncentiveStructure,"Executive team manipulated revenue recognition to meet earnings targets","Revenue overstated by $180M over 3 years",45000000.00,2022-11-30,FinancialReporting,"SEC fraud penalties: median $25M for revenue manipulation (2020-2023)"
rea006,OFAC,"Global Trade Partners - Sanctions Violations",OFAC-2023-SDN-088,Governance,"Processed 847 transactions with SDN-listed entities over 24-month period","847 prohibited transactions totaling $156M",12000000.00,2023-08-01,SanctionsCompliance,"OFAC penalties for willful violations: avg $8M (2022-2023)"
rea007,OCC,"Pacific Trust - Anti-Money Laundering Gaps",OCC-2024-0012,Process,"BSA/AML program deficiencies including inadequate transaction monitoring and SAR filing delays","2100 suspicious transactions not flagged over 12 months",5000000.00,2024-02-28,AML,"OCC BSA/AML consent orders: avg $4.2M (2023-2024)"
rea008,SEC,"Bluth Company - Failure to Disclose Iraq Operations",SEC-2024-0198,Governance,"Company failed to disclose material overseas construction operations in Iraq in regulatory filings","Undisclosed foreign operations revenue estimated at $4.5M",0.00,2024-05-15,ForeignOperationsDisclosure,"Pending investigation - fine amount not yet determined"
rea009,OFAC,"Bluth Company - Potential Sanctions Exposure",OFAC-2024-INQ-042,Governance,"Investigation into payments to Iraqi contractors potentially on restricted lists","Under review - 12 payments to contractors under OFAC scrutiny",0.00,2024-07-01,SanctionsCompliance,"Under investigation - potential penalties range $1M-$15M based on precedent"
rea010,StateAG,"Bluth Company - Banana Stand Cash Handling",CAG-2024-0156,Process,"State investigation into unreported cash holdings at banana stand retail location","$250K+ in unreported cash discovered during routine inspection",50000.00,2024-08-20,CashControls,"State cash handling violations: avg fine $25K-$100K (2023-2024)"
