ProblemID,Title,Description,Priority,Category,Status,OpenDate,ResolvedDate,Owner,OwnerID,RootCause,Workaround,RelatedIncidents,AffectedAssets,Notes
PRB-001,Terminated user access not revoked,Multiple terminated users retain system access,P1,Access Management,Open,2024-08-31,,Michael Bluth,E003,No automated deprovisioning process,Manual review quarterly,INC-003;INC-012,Multiple,CHG-006 and CHG-013 still open after years
PRB-002,Critical vulnerabilities not patched,Multiple critical CVEs open beyond SLA,P1,Vulnerability Management,Open,2024-06-15,,IT Team,N/A,No patching schedule enforced,Manual patching attempts,INC-015,ASSET-001;ASSET-002;ASSET-005,6+ months of critical vulns unpatched
PRB-003,Service account password rotation,Service accounts never have passwords rotated,P2,Identity Management,Open,2024-12-22,,IT Team,N/A,No password rotation policy for service accounts,None,INC-009,SA001;SA002,5+ years without rotation
PRB-004,Self-approved changes,Multiple changes approved by requestor,P1,Change Management,Open,2024-11-01,,Michael Bluth,E003,No segregation of duties enforcement,CAB review added,INC-006,N/A,CHG-002;CHG-003;CHG-010;CHG-014 all self-approved
PRB-005,Ghost employees on payroll,Non-existent employees receiving paychecks,P1,Payroll,Investigating,2024-11-15,,Gene Parmesan,E015,Inadequate HR verification,Payroll audit initiated,INC-004,N/A,Franklin the puppet receives regular pay
PRB-006,Incarcerated CEO system access,CEO retains full admin access while in prison,P1,Access Management,Open,2024-11-15,,Barry Zuckerkorn,E012,Legal hold prevents access removal,IP blocking attempted,INC-001;INC-005,ASSET-012,George Sr accessing from Mexico prison
PRB-007,Emergency changes without tickets,Critical changes deployed without approval,P1,Change Management,Open,2024-11-10,,IT Team,N/A,No emergency change process defined,Post-facto documentation,INC-010;INC-014,Multiple,CHG-004;CHG-012;CHG-015 all emergency with no approval
PRB-008,Related party approvals,Changes approved by family members,P2,Governance,Open,2024-11-02,,Wayne Jarvis,E022,70%+ of employees are related parties,External approval required,N/A,N/A,CHG-008 approved by Lucille for Annyong
PRB-009,Access review rubber-stamping,Access reviews completed in seconds,P2,Access Management,Open,2024-10-01,,Michael Bluth,E003,No minimum review time enforced,Add attestation requirement,N/A,N/A,Multiple reviews completed in 1-5 seconds
PRB-010,Data exfiltration detection delayed,Large data exports not detected timely,P1,Security,Investigating,2024-11-20,,Gene Parmesan,E015,No real-time DLP monitoring,Added alerting threshold,INC-008,N/A,Annyong exported 10GB before detection
PRB-011,EOL systems in production,End-of-life systems still in production use,P2,Asset Management,Open,2024-12-01,,IT Team,N/A,No asset lifecycle management,Decommission planning,N/A,ASSET-008;ASSET-009,CentOS 6 and POSReady 7 EOL
PRB-012,PCI compliance failure,Payment card data exposed on POS system,P1,Compliance,Open,2024-11-15,,GOB Bluth,E004,Unpatched POS terminal,Offline cash only mode,N/A,ASSET-008,Banana stand POS has CVE allowing card data exposure
